KEGG_ID,MARS2_S1,MARS4_S14,MARS5_S2,NURS2_S4,NURS4_S5,NURS5_S6,Par1_6m_S7,Par1_T0_S15,Par2_6m_S8,Par2_T0_S9,Par3_6m_S10,Par3_T0_S11,REBAR2_S12,REBAR4_S13,REBAR5_S16
K15083,1.688555851,0,1.293202258,0.840668458,0.227285205,1.318008146,0,2.66592266,1.204083187,1.18365082,1.098366003,0.581633945,1.316023802,1.843137376,1.529748267
K15085,0.014945659,0,0,0,0.02514669,0.428685478,0,0,0,0.014366741,0,0,0,0.112808767,0.119579066
K15095,0.538679716,0,0.785939616,1.087573169,0.096128126,0.468209671,0,0.861232994,0.453176847,0.360900685,0.569219729,0.365480621,0.562324837,0.114408892,0.731382882
K15100,1.45280287,0.652402622,0.500681412,0.330490985,0.274651789,2.073499971,2.67458276,1.925109045,0.748726964,1.318072069,1.067286992,1.279182173,0.793870358,0.193615047,2.089665378
K15102,4.848117443,0.634333161,0.143918813,2.018244305,0.835726159,3.700099435,0,7.132195166,3.474340442,2.802522009,3.034103323,1.270173848,2.906387576,1.430079351,7.234031818
K15104,0.465223391,1.006365746,0,1.087573169,0.315849558,0.601983863,0,0.878119915,0.492583529,3.357945508,0.400232622,0.335023902,0.545785871,14.72354429,0.222026946
K15105,0.644456824,1.009049388,0.738783239,0.839761854,0.103269073,1.005981921,0,1.269896493,0.666761065,0.693243143,0.702274841,0.171775892,0.279839301,0.082726429,0.491071364
K15109,0.447327055,0,0,0.282023156,0.122224609,0.250659947,0,0.498360542,0.239974913,0.275640961,0.287476056,0.185472308,0.503586782,0.173148341,0.312017935
K15110,0.90421238,1.397476071,0,0.342294234,0.746856687,0.375099793,0,1.258558132,0.505122019,0.458299038,0.9136739,0.048799969,0.132499669,0.4431773,1.420599302
K15113,1.135673444,0.746829317,2.733984025,1.297114992,0,0.310232912,0,0.720582714,0.073109766,1.106239058,0.709535201,1.073599324,1.10462882,1.224568856,0.920758807
K15117,0.389893863,0,0,0,0,0.798807366,0,0.273235926,0.060725051,0.272025998,0.171319975,0.164266563,0.242119614,0.122055388,0.442769262
K15125,0.034524473,0.376302949,0,0,0.230648614,0,0,0.020615203,0.095251581,0.06321366,0.112239647,0,0.070135163,0.61134311,0
K15165,0.430943773,0,0.530509241,0.314619381,0.041197768,0.140462901,0,0.668722089,0.236440094,0.338932818,0.341531837,0.201014341,0.406858558,0.13729067,0.478010955
K15181,0.023975328,0,0,0,0,0,0,0,0.057878565,0.069139941,0,0,0.097166424,0.180964064,0
K15192,0.610377418,0,0,0.105903188,0.203257498,0.416843338,0,0.61828524,0.353027267,0.293367264,0.401854191,0.332163327,0.18037524,0.130259847,0.284875653
K15206,0.40543267,0.091620707,0.335404013,0.2055423,0.086734769,0.313988758,0,0.83308131,0.285889278,0.646868602,0.35830349,0,0.3162026,0.151731889,0.385693157
